,,,,,,,,
,Fund Name,Fund Code,Stock Code,Previous %,Current %,Change %,Change Points,Status
,QUỸ ĐẦU TƯ CỔ PHIẾU KINH TẾ HIỆN ĐẠI VINACAPITAL,VMPF,TCB,5.68%,4.00%,-1.68%,-1.68,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU HƯNG THỊNH VINACAPITAL,VEOF,TCB,5.99%,4.38%,-1.61%,-1.61,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU CỔ TỨC TĂNG TRƯỞNG KIM,KDEF,MWG,5.27%,3.87%,-1.40%,-1.4,CHANGED
,QUỸ ĐẦU TƯ GIÁ TRỊ MB CAPITAL,MBVF,VIB,5.91%,4.59%,-1.32%,-1.32,CHANGED
,QUỸ ĐẦU TƯ TĂNG TRƯỞNG DÀI HẠN VIỆT NAM,VLGF,FPT,11.35%,10.11%,-1.24%,-1.24,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU CỔ TỨC TĂNG TRƯỞNG KIM,KDEF,VPB,10.57%,9.37%,-1.20%,-1.2,CHANGED
,QUỸ ĐẦU TƯ TĂNG TRƯỞNG BORDIER - MB FLAGSHIP,BMFF,HPG,4.62%,3.42%,-1.20%,-1.2,CHANGED
,QUỸ ĐẦU TƯ BẢN VIỆT DISCOVERY,VCAMDF,MIG,3.64%,2.45%,-1.19%,-1.19,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU NĂNG ĐỘNG BẢO VIỆT,BVFED,HPG,10.15%,8.99%,-1.16%,-1.16,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU HƯNG THỊNH VINACAPITAL,VEOF,HPG,7.37%,6.25%,-1.12%,-1.12,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU TRIỂN VỌNG BẢO VIỆT,BVPF,FPT,11.65%,10.61%,-1.04%,-1.04,CHANGED
,QUỸ ĐẦU TƯ CHỌN LỌC PHÚ HƯNG VIỆT NAM,PHVSF,VPB,4.94%,3.93%,-1.01%,-1.01,CHANGED
,QUỸ ĐẦU TƯ TĂNG TRƯỞNG BORDIER - MB FLAGSHIP,BMFF,QNS,4.77%,3.76%,-1.01%,-1.01,CHANGED
,QUỸ ĐẦU TƯ GIÁ TRỊ MB CAPITAL,MBVF,HPG,4.92%,3.91%,-1.01%,-1.01,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU TIẾP CẬN THỊ TRƯỜNG VINACAPITAL,VESAF,DGC,9.83%,8.82%,-1.01%,-1.01,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU HƯNG THỊNH VINACAPITAL,VEOF,CTG,7.67%,6.67%,-1.00%,-1,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU ESG EASTSPRING INVESTMENTS VIỆT NAM,EVESG,FPT,7.87%,6.87%,-1.00%,-1,CHANGED
,QUỸ ĐẦU TƯ CỔ PHIẾU TẬP TRUNG CỔ TỨC DC,VFMVF4,MWG,5.65%,4.66%,-0.99%,-0.99,CHANGED
,QUỸ ĐẦU TƯ TĂNG TRƯỞNG BORDIER - MB FLAGSHIP,BMFF,PNJ,4.12%,3.19%,-0.93%,-0.93,CHANGED
